R,G,B,PurpleOrNot,Gender,AndrewID
255,0,255,No,Male,pgmenon
183,52,235,Yes,Male,pgmenon
165,14,235,Yes,Male,pgmenon
153,51,255,Yes,Female,amanna
137,18,181,Yes,Male,etashj
137,0,255,Yes,Male,ldimitro
175,102,255,Yes,Female,amanna
234,223,3,No,Female,jake
153,255,153,No,Male,ldimitro
203,88,27,No,Male,jake
76,0,153,Yes,Female,amanna
153,0,153,Yes,Female,amanna
102,0,102,Yes,Female,amanna
0,255,0,No,Female,amanna
0,102,0,No,Female,amanna
173,31,225,Yes,Male,ssliu
93,240,157,No,Male,ssliu
42,188,199,No,Female,amanna
99,76,206,Yes,Female,jake
122,219,76,Yes,Female,jake
209,13,12,Yes,Male,jake
102,0,51,Yes,Female,amanna
186,221,209,No,Female,jake
88,2,1,Yes,Female,jake
229,204,255,Yes,Female,amanna
51,0,102,Yes,Female,amanna
127,0,255,Yes,Female,amanna
0,76,153,No,Female,amanna
202,202,202,Yes,Female,jake
75,143,211,No,Female,jake
162,0,255,Yes,Male,aztao
110,18,164,Yes,Male,aztao
74,1,117,Yes,Male,aztao
135,0,202,Yes,Male,aztao
157,85,193,Yes,Male,aztao
169,102,202,Yes,Male,aztao
207,169,255,Yes,Male,aztao
96,55,149,Yes,Male,aztao
171,245,16,Yes,Male,aztao
129,77,155,Yes,Male,aztao
168,46,182,Yes,Male,etashj
122,33,155,Yes,Male,etashj
87,50,101,Yes,Male,etashj
151,70,181,Yes,Male,etashj
183,27,201,Yes,Male,etashj
221,26,243,Yes,Male,etashj
113,125,8,Yes,Male,etashj
120,56,127,Yes,Male,etashj
77,26,82,Yes,Male,etashj
57,146,35,No,Male,aztao
228,68,121,No,Male,aztao
5,117,64,No,Male,aztao
30,94,189,No,Male,aztao
222,232,88,No,Male,aztao
88,232,222,No,Male,aztao
205,252,165,No,Male,aztao
162,103,51,No,Male,aztao
0,0,0,No,Male,aztao
90,122,14,No,Male,aztao
196,0,255,Yes,Female,shivamma
142,40,179,Yes,Female,shivamma
168,81,212,Yes,Female,shivamma
96,22,138,Yes,Female,shivamma
122,44,255,Yes,Female,shivamma
144,81,199,Yes,Female,shivamma
194,122,255,Yes,Female,shivamma
81,0,140,Yes,Female,shivamma
111,72,191,Yes,Female,shivamma
104,77,188,Yes,Female,shivamma
71,243,32,No,Female,shivamma
229,97,20,No,Female,shivamma
235,104,135,No,Female,shivamma
42,53,203,No,Female,shivamma
24,255,243,No,Female,shivamma
118,175,53,No,Female,shivamma
